gene	TPM_wt_17c_0min_rep1	TPM_wt_17c_0min_rep2	TPM_wt_17c_15min_rep1	TPM_wt_17c_15min_rep2	TPM_wt_17c_1hr_rep1	TPM_wt_17c_1hr_rep2	TPM_wt_17c_4hr_rep1	TPM_wt_17c_4hr_rep2	TPM_wt_27c_15min_rep1	TPM_wt_27c_15min_rep2	TPM_wt_27c_1hr_rep1	TPM_wt_27c_1hr_rep2	TPM_wt_27c_4hr_rep1	TPM_wt_27c_4hr_rep2
AT1G01060	513.977542	435.1662004	356.361505	398.4684951	209.5727493	290.6577398	45.98418396	49.11084258	310.7590737	329.6061916	97.28457354	169.9248474	8.768390417	13.93524466
AT1G01240	6.011672555	6.104473148	8.294355517	7.114490513	4.92889748	9.362904761	27.11722243	23.76605692	4.920291116	9.605640582	15.48935247	18.60163589	35.8605832	21.10365523
AT1G01390	10.93386927	10.61541244	13.0347661	13.77000193	7.665919191	8.092784929	5.096880985	5.467437141	7.373295605	6.598041269	2.620924807	2.907876176	3.69731877	2.104368888
AT1G01500	4.480429371	4.325650165	5.330199692	4.587362399	9.831175633	6.843147659	14.75478949	17.73712466	3.238698886	1.907739295	2.772474205	2.262420852	12.22130215	7.411958618
AT1G02460	1.018638668	1.593122162	2.029151032	1.77980858	1.961690811	2.190579334	2.098424655	4.546270415	2.860493237	1.208656317	3.25820767	5.272311277	1.911270122	2.095103816
AT1G02660	3.277334336	1.805071859	13.17616641	9.641555711	10.56797615	13.50128666	17.42092172	7.794962348	23.19728094	19.6182914	5.53129952	8.026061079	14.54334719	6.605474162
AT1G02920	7.705369233	13.31693832	20.44789427	54.53931435	19.69474843	54.57843237	121.9279568	154.7429251	15.85883045	20.05513746	23.74906802	19.06805651	105.969994	70.25346699
AT1G03090	13.32269234	11.74488762	11.99764586	11.29055097	11.77693153	12.48367627	35.69662673	17.62027816	10.62807957	13.27507286	15.58846349	25.88512359	58.31644469	16.08475939
AT1G03220	99.80687961	101.1770679	83.2391989	140.8923374	62.05066095	119.153762	124.7234375	135.3932445	86.1073924	144.9274705	191.6103302	218.6267307	133.9913731	158.8550181
AT1G03470	8.220713421	8.540640856	16.90508005	8.886057199	4.969445525	17.59742249	5.168764773	8.555046947	17.32074642	11.68892635	6.282873194	9.79041308	21.82220922	18.50808446
AT1G03610	22.64255404	17.42830583	42.88042933	25.76956965	14.14882595	18.50802374	28.34803498	24.51038025	24.25547902	25.74358419	27.93946602	32.82197042	34.63676578	23.20175737
AT1G03850	8.403621944	11.16545365	7.393070227	10.36489196	7.903028384	7.489585382	75.94824942	15.95791062	6.44320077	14.09095808	54.72101313	58.78181899	71.13254587	20.00823379
AT1G03860	73.79620052	92.40103551	80.03597206	83.0438085	61.22216018	73.59368524	65.51202398	83.637929	72.17676854	103.6105855	81.06217728	106.231082	125.7846673	78.43743391
AT1G04400	34.38754234	29.94567643	38.29593682	34.66666218	38.06758703	41.91993221	86.11870983	61.10799153	28.45810444	43.20250849	50.18636091	75.47674691	85.64250542	52.1027496
AT1G04520	67.54612418	68.49908804	67.77632641	60.72375438	40.26637557	50.42704008	20.02933016	30.44142414	50.67861434	49.78466219	15.70516995	24.31125924	21.8144861	14.03852005
AT1G04530	118.3621287	94.94520536	106.961209	104.2127658	88.37972073	107.7151736	88.47183776	88.00511326	81.94718918	93.09184467	57.5715733	68.76822641	70.45802049	42.09926298
AT1G04770	42.93399218	37.07366862	35.96881266	39.67156771	45.12973356	46.11314359	13.7000934	24.63354612	49.22930719	67.0254121	15.74900943	28.27986382	18.85522429	23.13503804
AT1G05260	79.82564841	103.7103839	69.538353	99.93780263	89.72765377	94.69373902	110.4286713	99.06612724	83.49159274	107.0372288	66.08915644	85.38122547	71.79376373	45.13278624
AT1G06000	51.40426204	66.80975326	82.81109469	83.3749942	95.22714719	88.17109135	16.23122265	26.29628539	88.48492074	76.34052644	26.60449924	23.34520689	11.33441474	9.387886055
AT1G06080	11.96417483	10.13045696	14.82424173	11.03086212	7.848058671	7.373396128	8.105916082	9.724416448	6.373946537	6.645430488	5.524082409	8.77102761	13.39640451	11.75223521
AT1G06180	52.8646974	54.45880853	39.61210546	30.6434857	20.88356163	15.85106738	15.55090656	12.52549832	16.50647596	16.37439244	12.90143153	16.95243606	14.83480584	7.659270314
AT1G07150	11.04829237	10.56232833	10.42027069	9.833963028	5.786734538	4.854003217	5.678100638	3.99784773	4.101401351	3.354689292	5.325840488	3.09970692	3.33752833	1.696201495
AT1G07180	159.1281177	136.0362995	171.5778745	153.3180928	119.2309709	159.1850537	103.6791111	91.0329616	165.6574919	138.9826844	120.6301394	112.6682971	65.16162385	39.54051839
AT1G08090	0.160156611	1.539701207	1.165504917	1.571974451	3.366622684	0.583869835	19.13920577	51.74143762	1.739569229	1.650256213	0.919303915	0.33774836	1.834941936	4.272557825
AT1G08280	13.01452708	14.5006329	13.4830164	14.28225763	10.36866364	11.08046373	10.69906895	13.65914477	8.217721174	6.830909804	3.963725039	11.55695067	11.90619887	10.26937348
AT1G08300	2.970738615	1.973144513	2.835359412	2.90202731	3.111927767	2.430492812	2.513140628	2.168066293	2.752882269	3.517344209	2.252384904	5.467634071	8.793187572	4.301748655
